Fecha,Hora,Pais,Estado,Ciudad,Latitud,Longitud,AQI_US,Contaminante_Principal,Temperatura_C,Humedad_%
2026-09-07,17:05:34,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,55,p2,27,72
2026-09-07,17:05:35,Mexico,Nuevo Leon,Ciudad Apodaca,25.79002,-100.18639,60,p2,27,74
2026-09-07,11:17:44,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,53,p2,29,66
2026-09-07,11:17:48,Mexico,Jalisco,Ajijic,20.30325,-103.25476,57,p2,21,73
2026-09-07,17:19:14,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,53,p2,29,66
2026-09-07,17:19:17,Mexico,Jalisco,Ajijic,20.30325,-103.25476,57,p2,21,73
2026-09-07,17:28:09,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,53,p2,29,66
2026-09-07,17:28:16,Mexico,Jalisco,Ajijic,20.30325,-103.25476,57,p2,21,73
2026-09-07,18:08:39,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,39,p2,29,66
2026-09-07,18:08:45,Mexico,Jalisco,Ajijic,20.30325,-103.25476,57,p2,21,73
2026-09-08,00:11:48,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,44,p2,32,49
2026-09-08,00:11:55,Mexico,Jalisco,Ajijic,20.30325,-103.25476,52,p2,24,61
2026-09-08,06:09:28,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,59,p2,27,67
2026-09-08,06:09:34,Mexico,Jalisco,Ajijic,20.30325,-103.25476,28,p2,19,82
2026-09-08,12:10:22,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,50,p2,24,90
2026-09-08,12:10:29,Mexico,Jalisco,Ajijic,20.30325,-103.25476,56,p2,18,84
2026-09-08,18:09:21,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,66,p2,29,70
2026-09-08,18:09:28,Mexico,Jalisco,Ajijic,20.30325,-103.25476,34,p2,21,75
2026-09-09,00:12:08,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,61,p2,25,72
2026-09-09,00:12:15,Mexico,Jalisco,Ajijic,20.30325,-103.25476,57,p2,23,62
2026-09-09,06:09:39,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,33,p2,26,78
2026-09-09,06:09:46,Mexico,Jalisco,Ajijic,20.30325,-103.25476,21,p2,20,70
2026-09-09,12:09:41,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,36,p2,25,94
2026-09-09,12:09:47,Mexico,Jalisco,Ajijic,20.30325,-103.25476,15,p2,19,77
2026-09-09,18:09:26,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,60,p2,31,57
2026-09-09,18:09:33,Mexico,Jalisco,Ajijic,20.30325,-103.25476,51,p2,22,66
2026-09-10,00:10:01,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,44,p2,33,40
2026-09-10,00:10:08,Mexico,Jalisco,Ajijic,20.30325,-103.25476,61,p2,25,58
2026-09-10,06:10:22,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,28,p1,26,73
2026-09-10,06:10:28,Mexico,Jalisco,Ajijic,20.30325,-103.25476,38,p2,19,83
2026-09-10,12:09:38,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,37,p2,25,90
2026-09-10,12:09:45,Mexico,Jalisco,Ajijic,20.30325,-103.25476,46,p2,17,89
2026-09-10,18:09:04,Mexico,Nuevo Leon,Cadereyta Jimenez,25.58896,-100.00156,59,p2,33,50
2026-09-10,18:09:10,Mexico,Jalisco,Ajijic,20.30325,-103.25476,47,p2,18,87
